Message_ID,Original_Message,Transmitted_Message,Error_Correction_Applied,Corrected_Message,Encryption_Type,Encrypted_Message,Decrypted_Message,Authentication_Status,Transmission_Time (ms),Error_Rate (%),Throughput (Mbps),Data_Integrity (%),Target
1,Departing Station Train Maintenance Maintenance,Departing Station Train Maintenance Maintenance,0,Departing Station Train Maintenance Maintenance,RSA,gAAAAABnlGiKjBi1aUV5bvSnEC9D-7DH1sSTPXO_l4dKvimvqAATkN1Ku8o92n5QzzAP6ZU9ARUARv58ODL7SO2u5eLCbGyMHT4xZjlotLetFD7e89-UlD9XGsCpWkUch01qfv7k3oq6,Departing Station Train Maintenance Maintenance,Failure,7.93,0.85,58.9,99.15,Not Secure
2,Train Departing Departing Delays Station,Train Departing Departing Delays Station,0,Train Departing Departing Delays Station,HybridRSA-Blowfish,gAAAAABnlGiLAL_RhK1CDurXQHdJ2SPvIMHjog2eYKtoDfrekx-Ydpf94jfkBwtGFt93ZOJiq-Ne2asN00ffyuAuvXPFdOrdSItNewtzvVQCu05UDdlkUq9BZ4V4755gPWDA3gh_jIdN,Train Departing Departing Delays Station,Failure,14.13,1.34,52.79,98.66,Not Secure
3,Arriving On-Time Station Train Station Train Delays,AUriving On-Time Station Train Station Train Delays,1,Arriving On-Time Station Train Station Train Delays,Blowfish,gAAAAABnlGiLy8Zh8HZsKKPToe1xXY0mHIIzfJq503W_hamuhdnlB_iMRONjG_V62LaBhbBIAoI6wFRmXaVcVPMN36DN5U90NYeB7Y4dKxFkk-1IW_74uWUcGJc4MowI90kc6OqEiQqKjm2HNIomEOFai768_Xv-Aw==,Arriving On-Time Station Train Station Train Delays,Success,12.45,0.85,51.08,99.15,Secure
4,Departing Train On-Time On-Time Maintenance Departing,Departing Train On-Time On-Time Maintenance Departing,0,Departing Train On-Time On-Time Maintenance Departing,HybridRSA-Blowfish,gAAAAABnlGiLD_F5Np_jfUYVsqMORt4meHDgKFl6z-gP6AtgzMZ7nN5fOIYCUpjSjQJ9VZF9o60NUpCCcCs44dFwpqBzrWl5AB6tW0L2vWLJcodcghRBYDTY0Jag1zP6kOCL_ta353ZGGqplntkAgwNNXwmdV8YZ8A==,Departing Train On-Time On-Time Maintenance Departing,Failure,5.37,1.45,50.52,98.55,Not Secure
5,Arriving Delays Station Arriving Delays Arriving Departing,Arriving Delays Station Arriving Delays Arriving Departing,0,Arriving Delays Station Arriving Delays Arriving Departing,Blowfish,gAAAAABnlGiLFtVSKqNHji1q8dDd4nwTntySk1HUk58KSY2UInpXVyR0jU3x7HEuxX4tkEPOl4jtDoD8I5Tj4oP2Rqf28eW-vSb6P1VTtNs1N41rovg90dEJFgVAgGRXT6If22Z12cYi6YLWII3a-H4DcvIxllFcoA==,Arriving Delays Station Arriving Delays Arriving Departing,Failure,7.93,0.72,50.08,99.28,Not Secure
6,Delays Delays Arriving Delays Departing Departing Station,Delays Delays Arriving Delays Departing Departing Station,0,Delays Delays Arriving Delays Departing Departing Station,RSA,gAAAAABnlGiLCjW0tLUgrFVThdDmIP_tX4cWh3YRtb6_mufdZxImA5_83JaPyjjUYjF1MvQQxiYKXELgOx4VUKBcoIALwJCI3gNhHkAwVCpip9FoGUVkHAJIiVfkE7xDhlvBG-cPyn3t8vkqfHWPIYMJAGUqCZH81w==,Delays Delays Arriving Delays Departing Departing Station,Success,14.84,1.28,50.76,98.72,Secure
7,On-Time Maintenance Train Train,On-Time Maintenance Train Train,0,On-Time Maintenance Train Train,RSA,gAAAAABnlGiLlCNFvhExVRtZEzZ-leZ2tdKFEMVkcgdsX_6SBo1z2GS-wIc3z3fXkszkI50qkrYTNWfJDCd9lrh7_LWur_mMnUCCXLgjtJ9ToMbGR7SQub8=,On-Time Maintenance Train Train,Failure,5.19,1.27,57.96,98.73,Not Secure
8,Delays Arriving Delays On-Time Arriving,Delays Arriving Delays On-Time Arriving,0,Delays Arriving Delays On-Time Arriving,Blowfish,gAAAAABnlGiL4tieioLafi-aD7faGJQ84g8kWmxPEY_yS-n3P_4ZvNXQ97XoORuQES-ZlgVov9moBr6PlrumokgIVJf3bYCUsbR00oAp01HBvlfEWX16M_ZtdtCYgtkZay1Q1avNKjg0,Delays Arriving Delays On-Time Arriving,Failure,5.83,0.97,59.44,99.03,Not Secure
9,On-Time Maintenance Arriving Arriving,On-Time Maintenance Arriving Arriving,0,On-Time Maintenance Arriving Arriving,HybridRSA-Blowfish,gAAAAABnlGiLNIrAwZ2UyMFwlzikEAzMy0pNFdf1hDe8N4zmi1tmv_IMFnH_F0gE1WBZ-dKGVnwmbZpsxLO33R0cvW2gn4fNfw7MpOUYQ72B2VzwF-pCLnrHCXd1a0AMC2LO-9oBzBD0,On-Time Maintenance Arriving Arriving,Failure,11.35,1.08,51.49,98.92,Not Secure
10,Departing On-Time Delays Delays,Departing On-Time Delays Delays,0,Departing On-Time Delays Delays,Blowfish,gAAAAABnlGiLQgJdStOxZDcEN4pijDdaOC4ef0M_TzXCZw6wewubnMj4EZim0ADRYpHiE2QFfZ2l_8nTypupJ-Q-vz8AoBv01EC3Pcvw7NM35q4q_iQgqAw=,Departing On-Time Delays Delays,Failure,11.69,0.18,54.51,99.82,Not Secure
