Message_ID,Error_Correction_Applied,Transmission_Time (ms),Error_Rate (%),Throughput (Mbps),Data_Integrity (%),processed_Original_Message,processed_Transmitted_Message,processed_Corrected_Message,processed_Encryption_Type,processed_Encrypted_Message,processed_Decrypted_Message,processed_Authentication_Status,Target
1,0,7.93,0.85,58.9,99.15,departing station train maintenance maintenance,departing station train maintenance maintenance,departing station train maintenance maintenance,rsa,,departing station train maintenance maintenance,failure,Not Secure
2,0,14.13,1.34,52.79,98.66,train departing departing delay station,train departing departing delay station,train departing departing delay station,,,train departing departing delay station,failure,Not Secure
3,1,12.45,0.85,51.08,99.15,arriving station train station train delay,auriving station train station train delay,arriving station train station train delay,blowfish,,arriving station train station train delay,success,Secure
4,0,5.37,1.45,50.52,98.55,departing train maintenance departing,departing train maintenance departing,departing train maintenance departing,,,departing train maintenance departing,failure,Not Secure
5,0,7.93,0.72,50.08,99.28,arriving delay station arriving delay arriving departing,arriving delay station arriving delay arriving departing,arriving delay station arriving delay arriving departing,blowfish,,arriving delay station arriving delay arriving departing,failure,Not Secure
6,0,14.84,1.28,50.76,98.72,delay delay arriving delay departing departing station,delay delay arriving delay departing departing station,delay delay arriving delay departing departing station,rsa,,delay delay arriving delay departing departing station,success,Secure
7,0,5.19,1.27,57.96,98.73,maintenance train train,maintenance train train,maintenance train train,rsa,,maintenance train train,failure,Not Secure
8,0,5.83,0.97,59.44,99.03,delay arriving delay arriving,delay arriving delay arriving,delay arriving delay arriving,blowfish,,delay arriving delay arriving,failure,Not Secure
9,0,11.35,1.08,51.49,98.92,maintenance arriving arriving,maintenance arriving arriving,maintenance arriving arriving,,,maintenance arriving arriving,failure,Not Secure
10,0,11.69,0.18,54.51,99.82,departing delay delay,departing delay delay,departing delay delay,blowfish,,departing delay delay,failure,Not Secure
11,1,6.93,0.22,53.22,99.78,station departing maintenance maintenance,station departing maintenance maintenancv,station departing maintenance maintenance,rsa,,station departing maintenance maintenance,success,Secure
12,0,12.28,1.61,52.99,98.39,station departing arriving arriving departing train,station departing arriving arriving departing train,station departing arriving arriving departing train,,,station departing arriving arriving departing train,success,Secure
13,0,8.72,0.07,53.28,99.93,arriving train maintenance train departing,arriving train maintenance train departing,arriving train maintenance train departing,rsa,,arriving train maintenance train departing,failure,Not Secure
14,0,6.33,0.9,50.54,99.1,train arriving delay maintenance arriving,train arriving delay maintenance arriving,train arriving delay maintenance arriving,,,train arriving delay maintenance arriving,failure,Not Secure
15,0,12.66,0.51,52.37,99.49,departing delay station arriving,departing delay station arriving,departing delay station arriving,blowfish,,departing delay station arriving,success,Secure
